Month,Mailbox,Class IV,Class III,Butter,NFDM
January-04,11.64,10.97,11.61,1.43,0.84
February-04,12.25,12.21,11.89,1.71,0.84
March-04,14.31,14.1,14.49,2.14,0.85
April-04,17.04,14.57,19.66,2.22,0.88
May-04,17.29,14.5,20.58,2.04,0.91
June-04,16.14,13.72,17.68,1.93,0.92
July-04,13.68,13.31,14.85,1.75,0.92
August-04,13.44,12.46,14.04,1.54,0.88
September-04,14.03,13,14.72,1.77,0.87
October-04,13.67,12.81,14.16,1.65,0.87
November-04,14.84,13.34,14.89,1.92,0.89
December-04,14.82,13.42,16.14,1.71,0.89
January-05,14.43,12.52,14.14,1.58,0.92
February-05,13.87,12.74,14.7,1.61,0.95
March-05,13.82,12.66,14.08,1.55,0.96
April-05,13.87,12.61,14.61,1.49,0.97
May-05,13.07,12.2,13.77,1.4,0.98
June-05,13.01,12.33,13.92,1.53,0.98
July-05,13.42,13.17,14.35,1.62,0.98
August-05,12.75,13.44,13.6,1.69,1
September-05,13.49,13.75,14.3,1.7,1.02
October-05,13.55,13.61,14.35,1.62,1.03
November-05,12.91,12.9,13.35,1.43,1.06
December-05,13.13,12.57,13.37,1.36,1.06
January-06,12.93,12.2,13.39,1.34,1.01
February-06,11.62,11.1,12.2,1.19,0.93
March-06,10.99,10.68,11.11,1.17,0.88
April-06,10.51,10.36,10.93,1.16,0.86
May-06,10.2,10.33,10.83,1.18,0.85
June-06,10.23,10.22,11.29,1.16,0.85
July-06,10,10.21,10.92,1.16,0.87
August-06,10.49,10.64,11.06,1.3,0.95
September-06,11.3,11.1,12.29,1.32,1.03
October-06,11.54,11.51,12.32,1.32,1.23
November-06,11.82,12.11,12.84,1.29,1.52
December-06,12.13,12.3,13.47,1.24,1.33
January-07,12.3,12.53,13.56,1.22,1.29
February-07,13,12.71,14.18,1.22,1.3
March-07,13.79,13.71,15.09,1.32,1.43
April-07,14.55,16.12,16.09,1.37,1.64
May-07,16.34,18.48,17.6,1.48,1.95
